trial,day,go,mo,oc,pl
204,6,736.15,1150.775,1975.225,2320.675
205,6,1000.975,1417.875,1747.15,2352.675
206,6,702.05,1049.1,1771.725,2737.125
207,6,817.45,1313.4,1739.15,2292.425
208,6,677.875,1369.975,1693.9,2186.85
209,6,771.2,1253.525,1546.025,2063.65
210,6,1036.075,1512.15,1765.8,2353.975
211,6,603.15,1418.125,1778,2534.775
212,6,835.075,1202,1567.05,2222.375
213,6,906.225,1390.9,1742.75,2357.2
214,6,601.8,1260.575,1585.55,2419.9
215,6,661.85,1101.325,1362.725,2104.975
216,6,668.275,1107.35,1602.8,2327.7
217,6,967.9,1377.7,1741.85,2415.575
218,6,967.975,1488.225,1869.6,2602.075
219,6,801.9,1040.225,1769.975,2259.475
220,6,735.05,1573.675,1927,2558.925
221,6,735.3,1307.925,1693.925,2188.6
222,6,901.7,1437.025,1784.675,2415.4
223,6,631.575,1698.025,2030.05,2601.15
224,6,861.625,1284.25,1612.325,2278.125
225,6,802.9,1310.95,1603.3,2204.375
226,6,567.5,1185.65,1524,2161.825
227,6,601.9,1021.625,1378.45,1820.225
228,6,736.35,1253.5,1562.325,2177.95
229,6,801.225,1185.425,1552.975,2388.775
230,6,734.825,1100,1347.975,2100
231,6,554.45,973.025,1334.15,1845.75
232,6,567.675,1134.575,1452.275,2006.95
233,6,734.675,1186.05,1494.7,2047.1
234,6,901.325,1345.125,1687.7,2209.225
235,7,703.25,891.725,1253.4,1877.75
236,7,800.975,1176.6,1822.025,2240.2
237,7,801.975,1257.9,1599.775,2107.625
238,7,667.225,947.125,1242.6,1771.925
239,7,739.425,1101.75,1476.175,2120.475
240,7,601.05,1103.975,1407.225,1944.225
241,7,577.9,977.75,1268.35,2239.175
242,7,536.45,1098.8,1376.45,2030.85
243,7,867.625,1424.325,1869,2488.875
244,7,1032.8,1560.775,1951.45,2727.275
245,7,1035.1,1542.75,1957.8,2693.65
246,7,934.35,1328.225,1635.075,2369.9
247,7,834.85,1587.6,1888.825,2504.1
248,7,668.2,1074.7,1546.275,1935.4
249,7,1000.975,1334.575,1596.3,2078.675
250,7,867.65,1568,1952.525,2351.675
251,7,801.075,1154.225,1361.8,1907.5
252,7,811.275,1264.85,1531.925,1945.775
253,7,768.1,1288.025,1518.9,2174.4
254,7,634.5,1592.725,1919.95,2566.15
255,7,708.375,1159.825,1413.925,1950.75
256,7,668.325,1083.925,1359.325,1917.875
257,7,1021.85,1372.85,1715.95,2211.85
258,7,651.85,760.925,1090.8,1542.15
259,7,901.575,1172.05,1468,2141.425
260,7,734.85,1479.45,1902.175,2363.875
261,7,736.775,1105.025,1439.725,1905.1
262,7,810.575,1191.85,1402.2,2080.5
263,7,584.15,976.375,1294.025,1861.325
264,7,737.925,1225.325,1564.625,2244.275
265,7,1001.475,1407.175,1701.25,2108.85
266,7,968.05,1866.475,2198.45,2671.05
267,7,752.9,1379.375,1973.675,2515.9
268,7,566.9,718.35,1450.225,2460
269,7,918.925,1452.95,1945.725,2633.75
270,7,717.875,1067.675,1463.575,2089.1
271,7,674.125,1469.8,1839.65,2523.7
272,7,651.7,1276.775,1676.075,2331.35
273,7,819.1,1264.925,1893.675,2658.675
274,7,605.925,1366.1,1688.625,2306.375
275,7,784.85,1275.025,1521.725,2187.325
276,7,1000.825,1461.1,1823.8,2440.35
277,7,701.025,1116.45,1505.55,2295.325
278,7,975.4,1508.85,1986.325,2683.75
279,7,734.225,977.45,1280.375,1710.175
280,7,944.5,1472.75,1807.275,2260.8
281,7,851,1381.5,1713.475,2314.225
282,7,843.075,1508.275,1891.2,2387.275
283,7,568.15,904.25,1260.225,1893.65
284,7,801,1300.95,1659.4,2709.925
285,7,651.35,1235,2110.475,2654.4
286,7,668.075,1535.275,1920.675,2494.15
287,7,684.4,1137.275,1544.65,1951.725
288,7,942.425,1401.875,1734.125,2308.875
289,8,569.1,1094.925,1437.825,1822.975
290,8,955.125,1441.4,1659.65,2078.375
291,8,1034.575,1539.5,1871.975,2485.525
292,8,742.875,1075.65,1492.975,1982.55
293,8,951.6,1769.075,2076.575,2592.675
294,8,1018.175,1617.6,2013.175,2512.025
295,8,951.125,1405.35,1743.85,2295.375
296,8,1100.275,1958.975,2272.025,2762.2
297,8,617.925,1033.2,1330.025,1855
298,8,884.925,1525.45,1946.7,2386.45
299,8,901.075,1263.8,1553.025,2026.025
300,8,584.525,1340.55,1655.1,2199.675
301,8,983.8,1533.95,1813.8,2193.95
302,8,901.7,1348.65,1756.4,2442.175
303,8,800.7,1230.375,1605.45,2196.475
304,8,744.35,1603.85,2004.25,2649.525
305,8,909.65,1349.4,1668.475,2131.2
306,8,717.825,1191.2,1582.1,2263.2
307,8,851.15,2009.7,2361.775,3033.925
308,8,586.975,975,1241.2,1714.125
309,8,710.075,1095.475,1408.825,1892.8
310,8,918,1254.8,1651.2,2187.975
311,8,1043.9,1462.025,1755.7,2375.225
312,8,667.975,1122.15,1426.025,1851.65
313,8,767.55,1198.475,1560.75,2184.175
314,8,851.275,1430.075,2024.65,2979.5
315,8,1017.575,1308.25,1797.625,2569.25
316,8,778.05,1376.325,1646.925,2375.35
317,8,984.7,1666.55,1969.475,2660.4
318,8,568.475,789.45,1310.55,2010.325
319,8,967.875,1257,1608.175,2138.475
320,8,851.45,1272.55,1908.65,2177.575
321,8,568,983.25,1475.375,2114.875
322,8,1034.175,1466.9,1794.4,2396.425
323,8,584.875,1142.875,1491.05,2063.225
324,8,1000.4,1399.125,1695.6,2183.65
325,8,1003.175,1361.95,1658.4,2273.75
326,8,751.7,1285.7,1634.875,2088.75
327,8,567.95,1095.925,1465.025,1953.05
328,8,667.775,1134.9,1637.525,2023.175
329,8,834.375,1224.9,1611.05,2102.2
330,8,1001.4,1397.125,1693.525,2244.85
331,8,751.3,1214.85,1496.475,2105.075
332,8,671.725,1225.675,1525.9,2071.5
333,8,953.775,1455.1,1785.225,2259.425
334,8,1034,1728.575,1985.425,2385.875
335,8,585.3,1164.2,1455.9,2012.5
336,8,851.375,1166.675,1553.75,2288.25
337,8,668.225,1182.1,1475.975,1893.35
338,8,752.45,2164.65,2468.05,2912.725
339,8,584.45,2060.625,2368,2834.15
340,8,800.575,1666.625,1947.6,2356.575
341,8,1050.225,1765.2,2052.7,2443.325
342,8,653.4,1189.35,1480.2,1977.95
343,9,805.975,1312.7,1545.65,2275.8
344,9,606.55,1002.075,1238.8,1714.25
345,9,1034.85,1412.35,1631,2057.275
346,9,707.25,984.925,1280.675,1649.675
347,9,768.175,1256.425,1526.325,1923.975
348,9,933.8,1035.925,1383.25,2233.925
349,9,807.3,1195.25,1465.4,1885.025
350,9,600.75,998,1353.4,1849.15
351,9,1050.15,1468.125,1862.975,2405.8
352,9,773.975,1253.35,1601.35,2017.125
353,9,822.675,1473.45,1785.875,2326
354,9,904.525,1356.7,1634.4,2001.6
355,9,1020.275,1504,1789.025,2372.15
356,9,806.625,1136.9,1401.725,2000.575
357,9,900.85,1221.7,1523.625,2070.075
358,9,701.275,927.6,1247.475,2128.6
359,9,640.35,1038.4,1277.2,1693.575
360,9,851.35,1264.025,1553.275,2061.225
361,9,969.425,1367.325,1691.325,2570.925
362,9,801.375,1232.2,1493.65,1839.225
363,9,968.1,1563.125,1850.25,2546.55
364,9,607.15,963.55,1410.575,2176.1
365,9,1006.675,1561.65,1960.55,2583.475
366,9,640.825,1249.275,1614.05,2158.15
367,9,1017.9,1586.25,1842.5,2561.725
368,9,567.425,1176.35,1576.725,2372.575
369,9,784.85,1012.3,1387.375,2417.65
370,9,634.925,1203.475,1619.775,2305.35
